level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	501	212	2399	3922	-1	
3	1	1	1	0	0	502	212	2398	104	-1	
4	1	1	1	1	0	502	212	2398	51	-1	
5	1	1	1	1	1	502	212	127	40	93	SIUE
5	1	1	1	1	2	643	212	208	40	88	Archives
5	1	1	1	1	3	2577	213	197	50	88	January
5	1	1	1	1	4	2790	213	110	39	90	2002
4	1	1	1	2	0	2587	276	313	40	-1	
5	1	1	1	2	1	2587	276	313	40	89	Acc.#M86:17
3	1	1	2	0	0	506	412	2224	114	-1	
4	1	1	2	1	0	506	412	2224	50	-1	
5	1	1	2	1	1	506	412	115	39	87	10/21
5	1	1	2	1	2	1300	412	110	38	93	LM2
5	1	1	2	1	3	1427	412	77	39	91	and
5	1	1	2	1	4	1520	412	82	40	98	990
5	1	1	2	1	5	1618	412	291	50	86	Reports,Ju1y
5	1	1	2	1	6	1929	412	33	46	97	1,
5	1	1	2	1	7	1985	412	225	40	89	1970-June
5	1	1	2	1	8	2227	412	65	46	90	30,
5	1	1	2	1	9	2315	412	103	40	96	1974
5	1	1	2	1	10	2436	412	77	39	91	and
5	1	1	2	1	11	2528	412	202	39	86	Terminal
4	1	1	2	2	0	1300	476	1013	50	-1	
5	1	1	2	2	1	1300	476	206	39	90	Financial
5	1	1	2	2	2	1522	477	151	49	87	Report
5	1	1	2	2	3	1687	476	49	39	90	of
5	1	1	2	2	4	1746	477	102	49	90	May
5	1	1	2	2	5	1862	476	112	39	91	P156
5	1	1	2	2	6	1991	476	83	39	89	into
5	1	1	2	2	7	2090	476	223	39	90	Loca1530
3	1	1	3	0	0	506	540	1727	50	-1	
4	1	1	3	1	0	506	540	1727	50	-1	
5	1	1	3	1	1	506	540	120	39	87	10/22
5	1	1	3	1	2	1301	541	66	38	94	Du
5	1	1	3	1	3	1383	540	137	48	89	Quoin
5	1	1	3	1	4	1535	540	176	50	89	Packing
5	1	1	3	1	5	1728	540	215	50	90	Company
5	1	1	3	1	6	1957	540	174	50	89	Mailing
5	1	1	3	1	7	2147	540	86	39	88	List
3	1	1	4	0	0	506	603	2017	50	-1	
4	1	1	4	1	0	506	603	2017	50	-1	
5	1	1	4	1	1	506	603	117	39	90	10/23
5	1	1	4	1	2	1300	603	171	50	90	Layoffs
5	1	1	4	1	3	1488	603	78	39	91	and
5	1	1	4	1	4	1582	603	219	46	87	Transfers,
5	1	1	4	1	5	1819	604	153	38	87	Hunter
5	1	1	4	1	6	1988	603	175	50	90	Packing
5	1	1	4	1	7	2180	603	219	46	92	Co.-1974,
5	1	1	4	1	8	2422	603	101	40	93	1975
3	1	1	5	0	0	506	667	1594	50	-1	
4	1	1	5	1	0	506	667	1594	50	-1	
5	1	1	5	1	1	506	667	119	39	96	10/24
5	1	1	5	1	2	1301	667	262	50	89	Regulations
5	1	1	5	1	3	1580	667	78	39	91	and
5	1	1	5	1	4	1674	667	186	46	89	Policies,
5	1	1	5	1	5	1877	667	223	39	90	Loca1530
3	1	1	6	0	0	506	731	2357	104	-1	
4	1	1	6	1	0	506	731	2357	50	-1	
5	1	1	6	1	1	506	731	117	39	97	10/25
5	1	1	6	1	2	1301	731	122	50	91	Daily
5	1	1	6	1	3	1438	731	109	39	91	Cash
5	1	1	6	1	4	1563	731	169	50	88	Receipt
5	1	1	6	1	5	1746	731	159	39	87	Record
5	1	1	6	1	6	1921	731	49	39	90	of
5	1	1	6	1	7	1980	731	67	39	89	the
5	1	1	6	1	8	2062	731	206	39	89	Financial
5	1	1	6	1	9	2284	731	219	50	87	Secretary,
5	1	1	6	1	10	2520	731	343	39	89	Loca1530-June
4	1	1	6	2	0	1306	795	102	40	-1	
5	1	1	6	2	1	1306	795	102	40	95	1975
3	1	1	7	0	0	506	860	1537	39	-1	
4	1	1	7	1	0	506	860	1537	39	-1	
5	1	1	7	1	1	506	860	119	39	98	10/26
5	1	1	7	1	2	1300	860	318	39	89	Miscellaneous
5	1	1	7	1	3	1634	860	206	39	90	Financial
5	1	1	7	1	4	1854	860	189	39	86	Material
3	1	1	8	0	0	506	924	1639	50	-1	
4	1	1	8	1	0	506	924	1639	50	-1	
5	1	1	8	1	1	506	924	118	39	95	10/27
5	1	1	8	1	2	1303	924	107	39	87	8x10
5	1	1	8	1	3	1425	924	264	50	87	photograph,
5	1	1	8	1	4	1706	924	267	39	88	unidentiﬁed
5	1	1	8	1	5	1990	924	155	50	87	subject
3	1	1	9	0	0	506	1051	2043	50	-1	
4	1	1	9	1	0	506	1051	2043	50	-1	
5	1	1	9	1	1	506	1051	87	39	99	11/1
5	1	1	9	1	2	1300	1051	1249	50	86	UnboundFinancialRecords,Loca1530-May1958-1960
3	1	1	10	0	0	506	1115	2148	50	-1	
4	1	1	10	1	0	506	1115	2148	50	-1	
5	1	1	10	1	1	506	1115	92	39	98	11/2
5	1	1	10	1	2	1300	1115	634	46	87	UnboundFinancialRecords,
5	1	1	10	1	3	1951	1115	334	50	90	Loca1530-Ju1y
5	1	1	10	1	4	2305	1115	225	40	89	1965-June
5	1	1	10	1	5	2550	1115	104	40	92	1966
3	1	1	11	0	0	506	1179	2345	114	-1	
4	1	1	11	1	0	506	1179	2345	50	-1	
5	1	1	11	1	1	506	1179	89	39	90	11/3
5	1	1	11	1	2	1301	1179	109	39	91	Cash
5	1	1	11	1	3	1425	1179	189	50	89	Receipts
5	1	1	11	1	4	1631	1179	78	39	91	and
5	1	1	11	1	5	1725	1179	141	39	89	Check
5	1	1	11	1	6	1880	1179	308	39	86	Disbursement
5	1	1	11	1	7	2203	1179	159	39	87	Record
5	1	1	11	1	8	2378	1179	130	46	91	Book,
5	1	1	11	1	9	2525	1179	326	39	90	Loca1530-Jan.
4	1	1	11	2	0	1302	1243	485	50	-1	
5	1	1	11	2	1	1302	1243	276	50	88	3,1947-Sep.
5	1	1	11	2	2	1602	1243	185	46	90	16,1953
3	1	1	12	0	0	506	1307	2351	113	-1	
4	1	1	12	1	0	506	1307	2351	50	-1	
5	1	1	12	1	1	506	1307	91	39	96	11/4
5	1	1	12	1	2	1301	1307	109	39	91	Cash
5	1	1	12	1	3	1425	1307	189	50	89	Receipts
5	1	1	12	1	4	1631	1307	78	39	91	and
5	1	1	12	1	5	1725	1307	141	39	89	Check
5	1	1	12	1	6	1880	1307	308	39	86	Disbursement
5	1	1	12	1	7	2203	1307	159	39	87	Record
5	1	1	12	1	8	2378	1307	130	46	91	Book,
5	1	1	12	1	9	2525	1307	332	39	88	Loca1530-Oct.
4	1	1	12	2	0	1306	1370	394	50	-1	
5	1	1	12	2	1	1306	1370	271	50	90	1,1953-Ju1y
5	1	1	12	2	2	1597	1370	103	40	92	1958
3	1	1	13	0	0	506	1498	2148	50	-1	
4	1	1	13	1	0	506	1498	2148	50	-1	
5	1	1	13	1	1	506	1498	87	39	98	12/1
5	1	1	13	1	2	1300	1498	634	46	87	UnboundFinancialRecords,
5	1	1	13	1	3	1951	1498	334	50	90	Loca1530-Ju1y
5	1	1	13	1	4	2305	1498	225	40	89	1967-June
5	1	1	13	1	5	2550	1498	104	40	92	1969
3	1	1	14	0	0	506	1562	2312	114	-1	
4	1	1	14	1	0	506	1562	2312	50	-1	
5	1	1	14	1	1	506	1562	92	39	98	12/2
5	1	1	14	1	2	1301	1562	109	39	91	Cash
5	1	1	14	1	3	1425	1562	189	50	89	Receipts
5	1	1	14	1	4	1631	1562	78	39	91	and
5	1	1	14	1	5	1725	1562	141	39	89	Check
5	1	1	14	1	6	1880	1562	328	39	87	Disbursements
5	1	1	14	1	7	2225	1562	158	39	87	Record
5	1	1	14	1	8	2399	1562	131	46	91	Book,
5	1	1	14	1	9	2547	1562	271	39	91	Loca1P705-
4	1	1	14	2	0	1300	1626	465	50	-1	
5	1	1	14	2	1	1300	1627	84	38	91	Jan.
5	1	1	14	2	2	1408	1626	228	50	90	1969-Aug.
5	1	1	14	2	3	1660	1626	105	40	95	1970
3	1	1	15	0	0	506	1690	2016	50	-1	
4	1	1	15	1	0	506	1690	2016	50	-1	
5	1	1	15	1	1	506	1690	89	39	90	12/3
5	1	1	15	1	2	1300	1690	110	39	91	Cash
5	1	1	15	1	3	1425	1690	120	39	90	Book
5	1	1	15	1	4	1561	1690	77	39	91	and
5	1	1	15	1	5	1654	1690	636	50	87	Payr011&Deductions,Loca1
5	1	1	15	1	6	2311	1690	88	46	93	156,
5	1	1	15	1	7	2422	1690	100	40	96	1971
3	1	1	16	0	0	505	1754	2136	50	-1	
4	1	1	16	1	0	505	1754	2136	50	-1	
5	1	1	16	1	1	505	1754	92	39	95	12/4
5	1	1	16	1	2	1299	1755	148	49	88	Empty
5	1	1	16	1	3	1461	1754	145	39	87	Folder
5	1	1	16	1	4	1621	1754	64	39	86	for
5	1	1	16	1	5	1698	1754	207	39	89	Financial
5	1	1	16	1	6	1921	1754	241	39	87	Secretaries
5	1	1	16	1	7	2178	1754	49	39	90	of
5	1	1	16	1	8	2237	1754	110	39	90	Each
5	1	1	16	1	9	2362	1754	126	39	91	Local
5	1	1	16	1	10	2502	1754	139	39	91	Union
3	1	1	17	0	0	505	1818	2325	103	-1	
4	1	1	17	1	0	505	1818	2325	50	-1	
5	1	1	17	1	1	505	1818	90	39	97	12/5
5	1	1	17	1	2	1301	1818	224	39	87	Smallbox
5	1	1	17	1	3	1540	1818	586	50	88	containing2sma11buttons
5	1	1	17	1	4	2143	1818	430	39	91	andasmallA.M.C.
5	1	1	17	1	5	2593	1818	170	39	93	&B.W.
5	1	1	17	1	6	2781	1818	49	39	90	of
4	1	1	17	2	0	1299	1882	400	39	-1	
5	1	1	17	2	1	1299	1882	93	39	76	NA
5	1	1	17	2	2	1409	1882	163	39	86	address
5	1	1	17	2	3	1587	1882	112	39	90	book
3	1	1	18	0	0	505	2010	2165	50	-1	
4	1	1	18	1	0	505	2010	2165	50	-1	
5	1	1	18	1	1	505	2010	88	39	90	13/1
5	1	1	18	1	2	1300	2011	111	38	89	Dues
5	1	1	18	1	3	1427	2010	552	50	86	Ledger—A.M.C&B.W.
5	1	1	18	1	4	1998	2010	49	39	90	of
5	1	1	18	1	5	2057	2010	118	46	73	NA,
5	1	1	18	1	6	2193	2010	126	39	91	Local
