level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	501	213	434	114	-1	
3	1	1	1	0	0	501	213	434	114	-1	
4	1	1	1	1	0	503	213	432	39	-1	
5	1	1	1	1	1	503	213	124	39	91	SIUE
5	1	1	1	1	2	644	213	291	39	91	ARCHIVES
4	1	1	1	2	0	501	277	276	50	-1	
5	1	1	1	2	1	501	277	276	50	85	Manuscript
2	1	2	0	0	0	502	2311	72	43	-1	
3	1	2	1	0	0	502	2311	72	43	-1	
4	1	2	1	1	0	502	2311	72	43	-1	
5	1	2	1	1	1	502	2311	72	43	90	3/5
2	1	3	0	0	0	500	4147	1827	52	-1	
3	1	3	1	0	0	500	4147	1827	52	-1	
4	1	3	1	1	0	500	4147	1827	52	-1	
5	1	3	1	1	1	500	4149	55	39	85	N
5	1	3	1	1	2	557	4147	1010	52	55	olumes/departments$llS/archives/WP/SIUE
5	1	3	1	1	3	1584	4149	370	39	87	Collections/John
5	1	3	1	1	4	1969	4150	47	38	95	B.
5	1	3	1	1	5	2034	4148	293	40	87	Bowman.doc
2	1	4	0	0	0	1301	2312	181	42	-1	
3	1	4	1	0	0	1301	2312	181	42	-1	
4	1	4	1	1	0	1301	2312	181	42	-1	
5	1	4	1	1	1	1301	2313	104	41	89	East
5	1	4	1	1	2	1424	2312	58	42	90	St.
2	1	5	0	0	0	1498	401	509	1813	-1	
3	1	5	1	0	0	1501	401	352	56	-1	
4	1	5	1	1	0	1501	401	352	56	-1	
5	1	5	1	1	1	1501	416	109	41	88	June
5	1	5	1	1	2	1628	401	225	56	64	28th1879
3	1	5	2	0	0	1501	472	341	137	-1	
4	1	5	2	1	0	1501	472	311	68	-1	
5	1	5	2	1	1	1501	485	100	55	89	July
5	1	5	2	1	2	1619	472	193	56	63	5th1879
4	1	5	2	2	0	1501	541	341	68	-1	
5	1	5	2	2	1	1501	541	341	68	66	Ju1y12th1879
3	1	5	3	0	0	1498	612	509	1602	-1	
4	1	5	3	1	0	1501	612	341	68	-1	
5	1	5	3	1	1	1501	625	100	55	89	July
5	1	5	3	1	2	1624	612	84	56	93	19th
5	1	5	3	1	3	1731	626	111	42	99	1879
4	1	5	3	2	0	1501	682	341	68	-1	
5	1	5	3	2	1	1501	682	341	68	64	Ju1y26th1879
4	1	5	3	3	0	1500	753	395	68	-1	
5	1	5	3	3	1	1500	767	177	54	88	August
5	1	5	3	3	2	1693	753	69	55	90	2nd
5	1	5	3	3	3	1784	767	111	42	99	1879
