level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	502	212	349	40	-1	
3	1	1	1	0	0	502	212	349	40	-1	
4	1	1	1	1	0	502	212	349	40	-1	
5	1	1	1	1	1	502	212	127	40	93	SIUE
5	1	1	1	1	2	643	212	208	40	89	Archives
2	1	2	0	0	0	2615	213	284	103	-1	
3	1	2	1	0	0	2615	213	284	103	-1	
4	1	2	1	1	0	2615	213	284	39	-1	
5	1	2	1	1	1	2615	213	160	39	87	March
5	1	2	1	1	2	2792	213	107	39	88	1993
4	1	2	1	2	0	2615	276	283	40	-1	
5	1	2	1	2	1	2615	276	283	40	90	Acc.#M93:1
2	1	3	0	0	0	1323	415	752	114	-1	
3	1	3	1	0	0	1323	415	752	114	-1	
4	1	3	1	1	0	1323	415	752	60	-1	
5	1	3	1	1	1	1323	416	202	46	88	Burton
5	1	3	1	1	2	1546	415	59	48	92	C.
5	1	3	1	1	3	1625	416	238	46	88	Bernard
5	1	3	1	1	4	1882	416	193	59	88	Papers
4	1	3	1	2	0	1582	490	238	39	-1	
5	1	3	1	2	1	1582	490	238	39	90	1818-1894
2	1	4	0	0	0	1108	553	1185	51	-1	
3	1	4	1	0	0	1108	553	1185	51	-1	
4	1	4	1	1	0	1108	553	1185	51	-1	
5	1	4	1	1	1	1108	554	25	39	91	8
5	1	4	1	1	2	1150	554	156	39	86	record
5	1	4	1	1	3	1322	557	187	45	86	cartons,
5	1	4	1	1	4	1525	554	26	38	92	2
5	1	4	1	1	5	1568	553	269	51	89	manuscript
5	1	4	1	1	6	1852	554	144	48	90	boxes,
5	1	4	1	1	7	2012	554	96	39	88	8.66
5	1	4	1	1	8	2124	566	66	27	90	cu.
5	1	4	1	1	9	2206	553	87	40	89	feet
2	1	5	0	0	0	501	680	2398	3454	-1	
3	1	5	1	0	0	501	680	2398	3454	-1	
4	1	5	1	1	0	501	680	1072	51	-1	
5	1	5	1	1	1	501	680	264	40	86	BOX/Folder
5	1	5	1	1	2	1300	680	273	51	64	Descrigtion
4	1	5	1	2	0	506	808	1088	50	-1	
5	1	5	1	2	1	506	808	59	39	98	1/1
5	1	5	1	2	2	1300	808	171	50	89	Finding
5	1	5	1	2	3	1487	808	107	39	89	Aide
4	1	5	1	3	0	506	872	1483	50	-1	
5	1	5	1	3	1	506	872	64	39	97	1/2
5	1	5	1	3	2	1301	873	84	38	89	Des
5	1	5	1	3	3	1401	873	118	38	86	Peres
5	1	5	1	3	4	1536	872	275	50	86	Presbyterian
5	1	5	1	3	5	1827	872	162	39	87	Church
4	1	5	1	4	0	1501	936	1308	50	-1	
5	1	5	1	4	1	1501	936	359	50	87	Correspondence
5	1	5	1	4	2	1875	936	184	39	88	between
5	1	5	1	4	3	2074	937	99	38	89	Rev.
5	1	5	1	4	4	2192	936	151	39	87	Robert
5	1	5	1	4	5	2357	936	191	39	88	Tabscott
5	1	5	1	4	6	2564	936	77	39	91	and
5	1	5	1	4	7	2657	937	152	38	87	Burton
4	1	5	1	5	0	1501	1000	177	39	-1	
5	1	5	1	5	1	1501	1000	177	39	87	Bernard
4	1	5	1	6	0	1500	1063	240	39	-1	
5	1	5	1	6	1	1500	1063	240	39	86	Newsletter
4	1	5	1	7	0	1501	1128	210	49	-1	
5	1	5	1	7	1	1501	1128	210	49	86	Programs
4	1	5	1	8	0	1500	1191	844	50	-1	
5	1	5	1	8	1	1500	1191	132	50	86	Elijah
5	1	5	1	8	2	1648	1192	40	38	91	P.
5	1	5	1	8	3	1706	1191	184	50	87	Lovejoy
5	1	5	1	8	4	1906	1191	164	50	89	Society
5	1	5	1	8	5	2085	1191	49	39	90	of
5	1	5	1	8	6	2146	1191	55	39	88	St.
5	1	5	1	8	7	2219	1191	125	39	91	Louis
4	1	5	1	9	0	1501	1256	956	50	-1	
5	1	5	1	9	1	1501	1256	177	39	88	Citation
5	1	5	1	9	2	1694	1256	122	50	89	given
5	1	5	1	9	3	1830	1262	41	33	88	to
5	1	5	1	9	4	1888	1257	153	38	87	Burton
5	1	5	1	9	5	2056	1256	190	46	86	Bernard,
5	1	5	1	9	6	2264	1256	193	40	93	7/4/1977
4	1	5	1	10	0	1502	1320	514	50	-1	
5	1	5	1	10	1	1502	1320	273	50	90	Symposium,
5	1	5	1	10	2	1798	1320	218	40	92	11/6/1977
4	1	5	1	11	0	1501	1384	1142	50	-1	
5	1	5	1	11	1	1501	1384	257	39	87	Celebration
5	1	5	1	11	2	1774	1384	97	39	89	with
5	1	5	1	11	3	1886	1384	125	39	88	Alton
5	1	5	1	11	4	2026	1384	185	50	87	Lovejoy
5	1	5	1	11	5	2227	1384	175	50	88	Society,
5	1	5	1	11	6	2420	1384	43	39	99	7/
5	1	5	1	11	7	2468	1384	66	39	98	17/
5	1	5	1	11	8	2540	1384	103	40	98	1977
4	1	5	1	12	0	1501	1447	807	50	-1	
5	1	5	1	12	1	1501	1447	162	39	87	Tribute
5	1	5	1	12	2	1677	1453	42	33	87	to
5	1	5	1	12	3	1736	1447	132	50	87	Irving
5	1	5	1	12	4	1884	1447	183	46	86	Dilliard,
5	1	5	1	12	5	2090	1447	110	39	98	11/4/
5	1	5	1	12	6	2205	1447	103	40	93	1978
4	1	5	1	13	0	1501	1511	701	50	-1	
5	1	5	1	13	1	1501	1511	210	50	87	Honoring
5	1	5	1	13	2	1727	1512	119	49	88	Betty
5	1	5	1	13	3	1862	1512	213	45	91	VanUum,
5	1	5	1	13	4	2098	1511	104	40	93	1979
4	1	5	1	14	0	1501	1575	1208	50	-1	
5	1	5	1	14	1	1501	1575	210	50	86	Honoring
5	1	5	1	14	2	1726	1575	183	39	91	William
5	1	5	1	14	3	1925	1575	144	50	89	Symes
5	1	5	1	14	4	2086	1575	78	39	91	and
5	1	5	1	14	5	2179	1575	175	39	89	Weldon
5	1	5	1	14	6	2370	1575	102	46	87	Cox,
5	1	5	1	14	7	2489	1575	220	40	87	4/26/1981
4	1	5	1	15	0	1502	1639	1098	50	-1	
5	1	5	1	15	1	1502	1639	54	39	88	St.
5	1	5	1	15	2	1575	1639	167	39	87	Charles
5	1	5	1	15	3	1758	1639	276	50	86	Presbyterian
5	1	5	1	15	4	2050	1639	173	46	87	Church,
5	1	5	1	15	5	2241	1639	359	50	87	Correspondence
4	1	5	1	16	0	506	1703	1165	50	-1	
5	1	5	1	16	1	506	1703	61	39	97	1/3
5	1	5	1	16	2	1302	1703	139	50	91	Synod
5	1	5	1	16	3	1457	1703	49	39	90	of
5	1	5	1	16	4	1517	1703	154	39	89	Illinois
4	1	5	1	17	0	1500	1766	448	46	-1	
5	1	5	1	17	1	1500	1766	192	46	88	Minutes,
5	1	5	1	17	2	1715	1766	233	39	93	1831-1838
4	1	5	1	18	0	1501	1830	1019	50	-1	
5	1	5	1	18	1	1501	1830	228	50	86	Transcript
5	1	5	1	18	2	1743	1830	49	39	90	of
5	1	5	1	18	3	1803	1830	200	50	87	Principal
5	1	5	1	18	4	2017	1831	128	45	89	Facts,
5	1	5	1	18	5	2162	1830	234	39	87	November
5	1	5	1	18	6	2416	1830	104	39	93	1854
4	1	5	1	19	0	1500	1894	377	50	-1	
5	1	5	1	19	1	1500	1894	126	39	88	Alton
5	1	5	1	19	2	1641	1894	236	50	86	Presbytery
4	1	5	1	20	0	1700	1958	729	46	-1	
5	1	5	1	20	1	1700	1958	192	46	88	Minutes,
5	1	5	1	20	2	1909	1958	196	39	92	4/4/1837
5	1	5	1	20	3	2122	1964	41	33	88	to
5	1	5	1	20	4	2184	1958	245	39	93	11/15/1837
4	1	5	1	21	0	1500	2022	987	50	-1	
5	1	5	1	21	1	1500	2022	102	39	87	First
5	1	5	1	21	2	1616	2022	276	50	85	Presbyterian
5	1	5	1	21	3	1908	2022	173	46	87	Church,
5	1	5	1	21	4	2098	2023	96	38	89	East
5	1	5	1	21	5	2210	2022	54	39	89	St.
5	1	5	1	21	6	2282	2022	136	46	91	Louis,
5	1	5	1	21	7	2436	2023	51	37	93	IL
4	1	5	1	22	0	1701	2086	359	50	-1	
5	1	5	1	22	1	1701	2086	359	50	87	Correspondence
4	1	5	1	23	0	1501	2150	736	50	-1	
5	1	5	1	23	1	1501	2150	236	50	85	Presbytery
5	1	5	1	23	2	1751	2150	50	39	89	of
5	1	5	1	23	3	1813	2150	215	39	88	Southeast
5	1	5	1	23	4	2041	2150	196	39	86	Missouri
4	1	5	1	24	0	1701	2215	209	49	-1	
5	1	5	1	24	1	1701	2215	209	49	86	Programs
4	1	5	1	25	0	1502	2278	1207	39	-1	
5	1	5	1	25	1	1502	2278	276	39	89	“Reminisces
5	1	5	1	25	2	1795	2278	49	39	90	of
5	1	5	1	25	3	1854	2278	67	39	89	the
5	1	5	1	25	4	1937	2278	207	39	87	Churches
5	1	5	1	25	5	2162	2278	77	39	91	and
5	1	5	1	25	6	2255	2279	158	38	87	Pastors
5	1	5	1	25	7	2430	2278	49	39	90	of
5	1	5	1	25	8	2491	2278	218	39	89	Kennebec
4	1	5	1	26	0	1501	2342	784	50	-1	
5	1	5	1	26	1	1501	2342	198	50	89	County,”
5	1	5	1	26	2	1715	2342	56	50	94	by
5	1	5	1	26	3	1787	2342	123	39	87	Sarah
5	1	5	1	26	4	1926	2343	46	38	93	B.
5	1	5	1	26	5	1990	2342	168	46	90	Adams,
5	1	5	1	26	6	2181	2342	104	40	93	1894
4	1	5	1	27	0	1500	2406	754	46	-1	
5	1	5	1	27	1	1500	2406	209	39	83	Unitarian
5	1	5	1	27	2	1724	2406	173	46	87	Church,
5	1	5	1	27	3	1916	2406	54	39	88	St.
5	1	5	1	27	4	1989	2406	137	46	89	Louis,
5	1	5	1	27	5	2149	2406	105	40	91	1960
4	1	5	1	28	0	506	2470	1114	39	-1	
5	1	5	1	28	1	506	2470	63	39	98	1/4
5	1	5	1	28	2	1301	2470	125	39	87	Court
5	1	5	1	28	3	1441	2470	179	39	86	Records
4	1	5	1	29	0	1500	2533	1324	50	-1	
5	1	5	1	29	1	1500	2534	134	38	88	Estate
5	1	5	1	29	2	1650	2533	49	39	90	of
5	1	5	1	29	3	1709	2533	75	50	87	Elij
5	1	5	1	29	4	1791	2533	50	39	91	ah
5	1	5	1	29	5	1856	2534	41	38	91	P.
5	1	5	1	29	6	1915	2533	184	50	87	Lovejoy
5	1	5	1	29	7	2113	2557	28	3	98	—
5	1	5	1	29	8	2155	2534	101	38	89	June
5	1	5	1	29	9	2271	2533	66	46	88	25,
5	1	5	1	29	10	2360	2533	102	39	92	1845
5	1	5	1	29	11	2480	2539	41	33	88	to
5	1	5	1	29	12	2537	2533	234	39	87	November
5	1	5	1	29	13	2788	2533	36	46	92	8,
4	1	5	1	30	0	1506	2597	103	40	-1	
5	1	5	1	30	1	1506	2597	103	40	90	1937
4	1	5	1	31	0	1500	2661	1350	50	-1	
5	1	5	1	31	1	1500	2661	151	39	87	Weller
5	1	5	1	31	2	1666	2674	36	26	92	V.
5	1	5	1	31	3	1722	2661	130	39	89	Owen
5	1	5	1	31	4	1867	2661	184	50	87	Lovejoy
5	1	5	1	31	5	2065	2685	28	3	98	—
5	1	5	1	31	6	2109	2661	236	50	87	September
5	1	5	1	31	7	2360	2661	66	46	88	29,
5	1	5	1	31	8	2449	2661	102	39	93	1847
5	1	5	1	31	9	2567	2667	42	33	88	to
5	1	5	1	31	10	2625	2661	144	39	87	March
5	1	5	1	31	11	2789	2661	61	46	90	13,
4	1	5	1	32	0	1506	2725	261	46	-1	
5	1	5	1	32	1	1506	2725	16	38	98	1
5	1	5	1	32	2	1531	2725	92	46	92	849,
5	1	5	1	32	3	1639	2726	128	38	89	Notes
4	1	5	1	33	0	506	2789	2041	50	-1	
5	1	5	1	33	1	506	2789	61	39	98	1/5
5	1	5	1	33	2	1300	2790	282	49	86	Newspapers,
5	1	5	1	33	3	1600	2795	307	44	86	contemporary
5	1	5	1	33	4	1923	2789	157	39	86	articles
5	1	5	1	33	5	2096	2801	54	27	92	on
