level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	500	212	2399	3922	-1	
3	1	1	1	0	0	500	212	2399	3922	-1	
4	1	1	1	1	0	502	212	2397	40	-1	
5	1	1	1	1	1	502	212	127	40	93	SIUE
5	1	1	1	1	2	643	212	208	40	87	Archives
5	1	1	1	1	3	2615	213	160	39	86	March
5	1	1	1	1	4	2792	213	107	39	88	1993
4	1	1	1	2	0	2615	276	283	40	-1	
5	1	1	1	2	1	2615	276	283	40	90	Acc.#M93:1
4	1	1	1	3	0	501	412	1338	50	-1	
5	1	1	1	3	1	501	412	96	39	87	2/14
5	1	1	1	3	2	1300	412	237	50	89	Millington
5	1	1	1	3	3	1551	412	163	50	86	receipt,
5	1	1	1	3	4	1737	412	102	39	88	1827
4	1	1	1	4	0	501	476	2220	50	-1	
5	1	1	1	4	1	501	476	43	39	99	2/
5	1	1	1	4	2	549	476	46	39	94	15
5	1	1	1	4	3	1301	476	211	39	86	Princeton
5	1	1	1	4	4	1528	476	263	50	89	Theological
5	1	1	1	4	5	1808	476	221	50	88	Seminary,
5	1	1	1	4	6	2046	477	98	37	91	EPL
5	1	1	1	4	7	2160	476	186	39	91	attended
5	1	1	1	4	8	2362	476	107	39	87	from
5	1	1	1	4	9	2488	476	233	39	97	1832-1833
4	1	1	1	5	0	501	540	1132	39	-1	
5	1	1	1	5	1	501	540	43	39	99	2/
5	1	1	1	5	2	549	540	16	38	97	1
5	1	1	1	5	3	573	540	24	39	92	6
5	1	1	1	5	4	1301	541	149	38	86	Brown
5	1	1	1	5	5	1465	541	168	38	86	Lecture
4	1	1	1	6	0	501	603	2012	50	-1	
5	1	1	1	6	1	501	603	95	39	94	2/17
5	1	1	1	6	2	1301	603	231	46	89	Dimmock,
5	1	1	1	6	3	1550	603	189	46	90	Thomas,
5	1	1	1	6	4	1759	603	218	50	87	“Lovejoy:
5	1	1	1	6	5	1997	604	108	38	87	Hero
5	1	1	1	6	6	2123	603	77	39	91	and
5	1	1	1	6	7	2215	603	298	50	86	Martyr,”1891
4	1	1	1	7	0	501	667	1818	50	-1	
5	1	1	1	7	1	501	667	95	39	97	2/18
5	1	1	1	7	2	1302	667	138	46	91	Olsen,
5	1	1	1	7	3	1457	667	114	39	91	Edna
5	1	1	1	7	4	1585	667	257	50	91	McElhiney,
5	1	1	1	7	5	1861	667	137	39	87	article
5	1	1	1	7	6	2014	679	54	27	92	on
5	1	1	1	7	7	2082	668	109	45	91	EPL,
5	1	1	1	7	8	2214	667	105	40	92	1966
4	1	1	1	8	0	501	731	2073	50	-1	
5	1	1	1	8	1	501	731	43	39	99	2/
5	1	1	1	8	2	549	731	48	40	97	19
5	1	1	1	8	3	1300	731	132	50	87	Elijah
5	1	1	1	8	4	1448	732	40	38	91	P.
5	1	1	1	8	5	1506	731	184	50	87	Lovejoy
5	1	1	1	8	6	1706	731	133	39	86	award
5	1	1	1	8	7	1854	737	41	33	92	to
5	1	1	1	8	8	1912	732	153	38	87	Burton
5	1	1	1	8	9	2080	731	46	39	93	C.
5	1	1	1	8	10	2145	731	189	46	84	Bernard,
5	1	1	1	8	11	2357	731	217	40	93	11/2/1986
4	1	1	1	9	0	501	795	1494	50	-1	
5	1	1	1	9	1	501	795	97	39	99	2/20
5	1	1	1	9	2	1301	795	154	39	91	Illinois
5	1	1	1	9	3	1473	795	108	39	90	State
5	1	1	1	9	4	1597	795	217	39	87	Historical
5	1	1	1	9	5	1829	795	166	50	87	Library
4	1	1	1	10	0	1500	860	1377	50	-1	
5	1	1	1	10	1	1500	860	314	39	90	Anti-abolition
5	1	1	1	10	2	1829	860	188	50	90	meeting,
5	1	1	1	10	3	2035	860	137	46	92	Alton,
5	1	1	1	10	4	2191	860	222	39	90	7/10/1837
5	1	1	1	10	5	2429	884	28	3	98	—
5	1	1	1	10	6	2471	860	219	50	87	typescript
5	1	1	1	10	7	2705	866	172	33	90	account
4	1	1	1	11	0	1700	924	747	50	-1	
5	1	1	1	11	1	1700	925	121	38	86	From
5	1	1	1	11	2	1831	924	121	39	86	Alton
5	1	1	1	11	3	1971	924	234	50	85	Telegraph,
5	1	1	1	11	4	2228	924	219	39	97	8/16/1837
4	1	1	1	12	0	1500	987	1194	46	-1	
5	1	1	1	12	1	1500	988	132	38	86	Letter
5	1	1	1	12	2	1646	993	41	33	92	to
5	1	1	1	12	3	1703	988	98	37	91	EPL
5	1	1	1	12	4	1817	987	107	39	87	from
5	1	1	1	12	5	1938	988	100	38	92	B.K.
5	1	1	1	12	6	2057	988	99	38	87	Hart
5	1	1	1	12	7	2171	987	77	39	91	and
5	1	1	1	12	8	2264	987	145	46	87	others,
5	1	1	1	12	9	2427	987	223	39	97	7/24/1837
5	1	1	1	12	10	2666	1011	28	3	98	—
4	1	1	1	13	0	1700	1051	1154	50	-1	
5	1	1	1	13	1	1700	1051	219	50	87	typescript
5	1	1	1	13	2	1934	1057	172	33	90	account
5	1	1	1	13	3	2120	1051	107	39	87	from
5	1	1	1	13	4	2237	1051	122	39	85	Alton
5	1	1	1	13	5	2379	1051	236	50	86	Telegraph,
5	1	1	1	13	6	2635	1051	41	39	99	8/
5	1	1	1	13	7	2682	1051	172	39	97	16/1837
4	1	1	1	14	0	1500	1115	1194	46	-1	
5	1	1	1	14	1	1500	1116	132	38	86	Letter
5	1	1	1	14	2	1646	1121	41	33	92	to
5	1	1	1	14	3	1704	1116	100	38	80	BK.
5	1	1	1	14	4	1823	1116	99	38	87	Hart
5	1	1	1	14	5	1937	1115	77	39	91	and
5	1	1	1	14	6	2030	1115	133	39	87	others
5	1	1	1	14	7	2179	1115	108	39	87	from
5	1	1	1	14	8	2300	1116	109	45	91	EPL,
5	1	1	1	14	9	2427	1115	223	39	97	7/26/1837
5	1	1	1	14	10	2666	1139	28	3	98	—
4	1	1	1	15	0	1700	1179	1154	50	-1	
5	1	1	1	15	1	1700	1179	219	50	87	typescript
5	1	1	1	15	2	1934	1185	172	33	90	account
5	1	1	1	15	3	2120	1179	107	39	87	from
5	1	1	1	15	4	2237	1179	122	39	85	Alton
5	1	1	1	15	5	2379	1179	236	50	86	Telegraph,
5	1	1	1	15	6	2635	1179	41	39	99	8/
5	1	1	1	15	7	2681	1179	66	39	98	16/
5	1	1	1	15	8	2752	1179	16	38	97	1
5	1	1	1	15	9	2777	1179	77	39	97	837
4	1	1	1	16	0	1501	1243	1368	50	-1	
5	1	1	1	16	1	1501	1243	268	50	87	Proceedings
5	1	1	1	16	2	1785	1243	50	39	89	of
5	1	1	1	16	3	1846	1243	155	39	90	Illinois
5	1	1	1	16	4	2018	1243	108	39	90	State
5	1	1	1	16	5	2142	1243	286	50	88	Anti-Slavery
5	1	1	1	16	6	2443	1243	269	46	91	Convention,
5	1	1	1	16	7	2729	1244	140	49	86	Upper
4	1	1	1	17	0	1700	1307	455	46	-1	
5	1	1	1	17	1	1700	1307	137	46	92	Alton,
5	1	1	1	17	2	1856	1307	177	39	86	October
5	1	1	1	17	3	2053	1307	102	39	90	1837
