level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	444	414	2272	50	-1	
3	1	1	1	0	0	444	414	2272	50	-1	
4	1	1	1	1	0	444	414	2272	50	-1	
5	1	1	1	1	1	444	414	71	47	89	5/5
5	1	1	1	1	2	1001	414	147	41	89	School
5	1	1	1	1	3	1163	415	80	40	84	and
5	1	1	1	1	4	1258	414	117	41	86	other
5	1	1	1	1	5	1387	414	201	50	89	buildings
5	1	1	1	1	6	1604	417	45	38	89	in
5	1	1	1	1	7	1662	414	141	49	89	Salem,
5	1	1	1	1	8	1819	414	175	50	80	Beverly,
5	1	1	1	1	9	2011	416	184	48	87	Spencer,
5	1	1	1	1	10	2211	414	305	41	84	Massachussets
5	1	1	1	1	11	2533	414	46	46	89	(c.
5	1	1	1	1	12	2600	414	116	47	89	1885)
2	1	2	0	0	0	400	616	2599	172	-1	
3	1	2	1	0	0	400	616	2599	172	-1	
4	1	2	1	1	0	400	616	2598	40	-1	
5	1	2	1	1	1	400	616	283	39	89	RESEARCH
5	1	2	1	1	2	698	616	368	39	90	COLLECTIONS
5	1	2	1	1	3	2618	616	262	39	89	OCTOBER
5	1	2	1	1	4	2897	618	101	38	89	1993
4	1	2	1	2	0	400	683	2599	47	-1	
5	1	2	1	2	1	400	683	237	47	85	LOVEJOY
5	1	2	1	2	2	649	683	233	39	89	LIBRARY
5	1	2	1	2	3	2690	683	123	39	90	ACC.
5	1	2	1	2	4	2831	684	168	40	79	#M89z4
4	1	2	1	3	0	401	749	120	39	-1	
5	1	2	1	3	1	401	749	120	39	89	SIUE
2	1	3	0	0	0	1300	883	1164	39	-1	
3	1	3	1	0	0	1300	883	1164	39	-1	
4	1	3	1	1	0	1300	883	1164	39	-1	
5	1	3	1	1	1	1300	883	241	39	87	BEVERLY
5	1	3	1	1	2	1553	883	152	39	89	FARM
5	1	3	1	1	3	1718	883	387	39	89	PHOTOGRAPH
5	1	3	1	1	4	2120	883	344	39	89	COLLECTION
2	1	4	0	0	0	421	1014	1796	383	-1	
3	1	4	1	0	0	421	1014	1796	383	-1	
4	1	4	1	1	0	421	1014	854	50	-1	
5	1	4	1	1	1	421	1016	105	47	53	Boy
5	1	4	1	1	2	535	1014	140	49	73	Eolder
5	1	4	1	1	3	1015	1016	260	48	71	Description
4	1	4	1	2	0	892	1147	1104	47	-1	
5	1	4	1	2	1	892	1149	171	39	92	SMITH
5	1	4	1	2	2	1076	1149	198	39	88	FAMILY
5	1	4	1	2	3	1287	1147	532	47	86	FRIENDS/RELATIVES
5	1	4	1	2	4	1837	1147	159	47	88	(cont'd)
4	1	4	1	3	0	444	1214	1746	50	-1	
5	1	4	1	3	1	444	1214	110	47	89	5/6—7
5	1	4	1	3	2	1000	1215	286	40	84	Unidentiﬁed
5	1	4	1	3	3	1300	1217	185	47	86	portraits
5	1	4	1	3	4	1501	1215	43	40	87	of
5	1	4	1	3	5	1557	1214	360	49	86	friends/relatives,
5	1	4	1	3	6	1936	1214	254	47	98	(1890—1920)
4	1	4	1	4	0	444	1281	1616	50	-1	
5	1	4	1	4	1	444	1281	111	47	89	5/8—9
5	1	4	1	4	2	1000	1281	304	41	84	Miscellaneous
5	1	4	1	4	3	1319	1282	271	40	87	unidentified
5	1	4	1	4	4	1604	1284	185	47	86	portraits
5	1	4	1	4	5	1807	1281	184	46	98	(1890—19
5	1	4	1	4	6	1999	1281	61	47	98	10)
4	1	4	1	5	0	444	1347	1773	50	-1	
5	1	4	1	5	1	444	1351	90	37	89	5—10
5	1	4	1	5	2	1002	1349	365	39	88	Commencement
5	1	4	1	5	3	1381	1350	169	47	86	portrait
5	1	4	1	5	4	1565	1348	43	40	87	of
5	1	4	1	5	5	1621	1348	271	40	87	unidentified
5	1	4	1	5	6	1907	1363	107	33	89	man,
5	1	4	1	5	7	2034	1347	45	46	88	(c.
5	1	4	1	5	8	2101	1347	116	47	90	1890)
2	1	5	0	0	0	891	1483	943	39	-1	
3	1	5	1	0	0	891	1483	943	39	-1	
4	1	5	1	1	0	891	1483	943	39	-1	
5	1	5	1	1	1	891	1483	444	39	90	MISCELLANEOUS
5	1	5	1	1	2	1350	1483	211	39	86	TRAVEL
5	1	5	1	1	3	1573	1483	261	39	90	PICTURES
2	1	6	0	0	0	444	1547	2353	650	-1	
3	1	6	1	0	0	445	1547	2097	50	-1	
4	1	6	1	1	0	445	1547	2097	50	-1	
5	1	6	1	1	1	445	1547	70	47	94	6/1
5	1	6	1	1	2	1000	1547	304	41	84	Miscellaneous
5	1	6	1	1	3	1319	1547	121	41	86	travel
5	1	6	1	1	4	1453	1550	172	47	86	pictures
5	1	6	1	1	5	1638	1549	125	39	91	W.H.
5	1	6	1	1	6	1779	1547	133	41	89	Smith
5	1	6	1	1	7	1926	1548	81	40	89	and
5	1	6	1	1	8	2020	1549	104	39	75	NB.
5	1	6	1	1	9	2140	1547	133	41	89	Smith
5	1	6	1	1	10	2289	1547	253	47	98	(1910—1920)
3	1	6	2	0	0	445	1614	2352	117	-1	
4	1	6	2	1	0	445	1614	2352	50	-1	
5	1	6	2	1	1	445	1614	47	47	99	6/
5	1	6	2	1	2	493	1619	24	36	99	2
5	1	6	2	1	3	999	1616	67	39	91	W.
5	1	6	2	1	4	1081	1617	56	38	91	H.
5	1	6	2	1	5	1154	1616	47	39	91	C.
5	1	6	2	1	6	1217	1614	133	41	89	Smith
5	1	6	2	1	7	1365	1615	80	40	84	and
5	1	6	2	1	8	1459	1630	76	25	89	son
5	1	6	2	1	9	1547	1614	213	41	86	Theodore
5	1	6	2	1	10	1775	1614	144	49	89	Smith,
5	1	6	2	1	11	1937	1615	147	49	86	during
5	1	6	2	1	12	2097	1617	80	47	86	trip
5	1	6	2	1	13	2192	1625	42	30	94	to
5	1	6	2	1	14	2251	1614	201	41	87	Colorado
5	1	6	2	1	15	2470	1614	134	46	87	(taken
5	1	6	2	1	16	2617	1617	46	38	89	in
5	1	6	2	1	17	2681	1614	116	47	99	1913)
4	1	6	2	2	0	445	1681	1500	50	-1	
5	1	6	2	2	1	445	1681	47	47	99	6/
5	1	6	2	2	2	492	1686	24	36	99	3
5	1	6	2	2	3	1000	1681	304	41	84	Miscellaneous
5	1	6	2	2	4	1319	1681	121	41	86	travel
5	1	6	2	2	5	1453	1684	172	47	86	pictures
5	1	6	2	2	6	1642	1681	46	46	89	(c.
5	1	6	2	2	7	1709	1681	236	47	88	1910—1936)
3	1	6	3	0	0	445	1747	2046	49	-1	
4	1	6	3	1	0	445	1747	2046	49	-1	
5	1	6	3	1	1	445	1747	47	47	99	6/
5	1	6	3	1	2	491	1750	26	40	99	4
5	1	6	3	1	3	1000	1750	178	38	86	Pictures
5	1	6	3	1	4	1193	1747	122	41	87	taken
5	1	6	3	1	5	1328	1758	39	30	88	at
5	1	6	3	1	6	1382	1747	392	47	86	Grovesmont/Pine
5	1	6	3	1	7	1788	1747	97	49	92	Hill,
5	1	6	3	1	8	1901	1749	101	39	89	N.Y.
5	1	6	3	1	9	2020	1747	92	46	89	(Asa
5	1	6	3	1	10	2124	1749	40	39	87	F.
5	1	6	3	1	11	2181	1747	143	49	89	Smith,
5	1	6	3	1	12	2342	1747	149	47	86	owner)
3	1	6	4	0	0	445	1814	1966	50	-1	
4	1	6	4	1	0	445	1814	1966	50	-1	
5	1	6	4	1	1	445	1814	47	47	99	6/
5	1	6	4	1	2	492	1818	23	37	89	5
5	1	6	4	1	3	1000	1814	304	41	84	Miscellaneous
5	1	6	4	1	4	1319	1817	172	47	86	pictures
5	1	6	4	1	5	1508	1814	124	46	86	(three
5	1	6	4	1	6	1647	1817	172	47	86	pictures
