level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	400	816	2599	172	-1	
3	1	1	1	0	0	400	816	2599	172	-1	
4	1	1	1	1	0	400	816	2598	40	-1	
5	1	1	1	1	1	400	816	283	39	89	RESEARCH
5	1	1	1	1	2	698	816	368	39	90	COLLECTIONS
5	1	1	1	1	3	2618	816	262	39	89	OCTOBER
5	1	1	1	1	4	2897	818	101	38	89	1993
4	1	1	1	2	0	400	883	2599	47	-1	
5	1	1	1	2	1	400	883	237	47	85	LOVEJOY
5	1	1	1	2	2	649	883	233	39	89	LIBRARY
5	1	1	1	2	3	2690	883	123	39	90	ACC.
5	1	1	1	2	4	2831	884	168	40	79	#M89z4
4	1	1	1	3	0	401	949	120	39	-1	
5	1	1	1	3	1	401	949	120	39	89	SIUE
2	1	2	0	0	0	1300	1083	1164	39	-1	
3	1	2	1	0	0	1300	1083	1164	39	-1	
4	1	2	1	1	0	1300	1083	1164	39	-1	
5	1	2	1	1	1	1300	1083	241	39	88	BEVERLY
5	1	2	1	1	2	1553	1083	153	39	89	FARM
5	1	2	1	1	3	1718	1083	387	39	89	PHOTOGRAPH
5	1	2	1	1	4	2120	1083	344	39	89	COLLECTION
2	1	3	0	0	0	406	1214	2324	314	-1	
3	1	3	1	0	0	406	1214	2324	314	-1	
4	1	3	1	1	0	421	1214	854	50	-1	
5	1	3	1	1	1	421	1216	105	47	53	Boy
5	1	3	1	1	2	535	1214	140	49	73	Eolder
5	1	3	1	1	3	1015	1216	260	48	71	Description
4	1	3	1	2	0	891	1347	1839	49	-1	
5	1	3	1	2	1	891	1349	225	39	89	ILLINOIS
5	1	3	1	2	2	1130	1349	222	39	89	ASYLUM
5	1	3	1	2	3	1365	1349	110	39	88	FOR
5	1	3	1	2	4	1487	1349	192	39	87	FEEBLE
5	1	3	1	2	5	1692	1349	222	39	87	MINDED
