level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	501	412	468	104	-1	
3	1	1	1	0	0	501	412	468	104	-1	
4	1	1	1	1	0	501	412	468	51	-1	
5	1	1	1	1	1	501	412	245	51	86	University
5	1	1	1	1	2	761	412	208	40	89	Archives
4	1	1	1	2	0	501	476	77	40	-1	
5	1	1	1	2	1	501	476	77	40	93	RC
2	1	2	0	0	0	501	1003	317	353	-1	
3	1	2	1	0	0	501	1003	317	353	-1	
4	1	2	1	1	0	501	1003	317	48	-1	
5	1	2	1	1	1	501	1003	317	48	88	Box/Folder
4	1	2	1	2	0	507	1156	71	46	-1	
5	1	2	1	2	1	507	1156	71	46	96	1/1
4	1	2	1	3	0	507	1233	77	46	-1	
5	1	2	1	3	1	507	1233	77	46	94	1/2
4	1	2	1	4	0	507	1310	74	46	-1	
5	1	2	1	4	1	507	1310	74	46	91	1/3
2	1	3	0	0	0	507	1463	77	46	-1	
3	1	3	1	0	0	507	1463	77	46	-1	
4	1	3	1	1	0	507	1463	77	46	-1	
5	1	3	1	1	1	507	1463	77	46	94	1/4
2	1	4	0	0	0	507	1692	76	661	-1	
3	1	4	1	0	0	507	1692	76	661	-1	
4	1	4	1	1	0	507	1692	74	47	-1	
5	1	4	1	1	1	507	1692	74	47	95	1/5
4	1	4	1	2	0	507	1845	76	47	-1	
5	1	4	1	2	1	507	1845	76	47	92	1/6
4	1	4	1	3	0	507	1999	75	46	-1	
5	1	4	1	3	1	507	1999	75	46	95	1/7
4	1	4	1	4	0	507	2152	75	46	-1	
5	1	4	1	4	1	507	2152	75	46	91	1/8
4	1	4	1	5	0	507	2306	76	47	-1	
5	1	4	1	5	1	507	2306	76	47	95	1/9
2	1	5	0	0	0	507	2459	110	46	-1	
3	1	5	1	0	0	507	2459	110	46	-1	
4	1	5	1	1	0	507	2459	110	46	-1	
5	1	5	1	1	1	507	2459	110	46	88	1/10
2	1	6	0	0	0	507	2689	104	46	-1	
3	1	6	1	0	0	507	2689	104	46	-1	
4	1	6	1	1	0	507	2689	104	46	-1	
5	1	6	1	1	1	507	2689	104	46	94	1/11
2	1	7	0	0	0	507	2842	110	46	-1	
3	1	7	1	0	0	507	2842	110	46	-1	
4	1	7	1	1	0	507	2842	110	46	-1	
5	1	7	1	1	1	507	2842	110	46	94	1/12
2	1	8	0	0	0	2500	413	327	103	-1	
3	1	8	1	0	0	2500	413	327	103	-1	
4	1	8	1	1	0	2500	413	285	39	-1	
5	1	8	1	1	1	2500	413	160	39	87	March
5	1	8	1	1	2	2675	413	110	39	90	2010
4	1	8	1	2	0	2500	476	327	40	-1	
5	1	8	1	2	1	2500	476	131	40	90	Acc.#
5	1	8	1	2	2	2644	477	183	39	92	M72:07
2	1	9	0	0	0	1368	620	665	137	-1	
3	1	9	1	0	0	1368	620	665	137	-1	
4	1	9	1	1	0	1492	620	415	48	-1	
5	1	9	1	1	1	1492	621	109	46	89	Bek
5	1	9	1	1	2	1622	620	285	48	89	Collection
4	1	9	1	2	0	1368	697	665	60	-1	
5	1	9	1	2	1	1368	697	26	46	96	1
5	1	9	1	2	2	1415	697	288	60	88	Hollinger;
5	1	9	1	2	3	1724	697	114	47	91	0.25
5	1	9	1	2	4	1858	711	79	33	89	cu.
5	1	9	1	2	5	1958	698	75	46	91	Ft.
