level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	407	414	1486	47	-1	
3	1	1	1	0	0	407	414	1486	47	-1	
4	1	1	1	1	0	407	414	1486	47	-1	
5	1	1	1	1	1	407	415	110	46	91	1/34
5	1	1	1	1	2	1201	414	452	47	87	Communications
5	1	1	1	1	3	1674	414	219	47	87	Political
2	1	2	0	0	0	407	491	2442	674	-1	
3	1	2	1	0	0	407	491	1261	47	-1	
4	1	2	1	1	0	407	491	1261	47	-1	
5	1	2	1	1	1	407	491	107	47	90	1/35
5	1	2	1	1	2	1201	491	287	47	85	Recreation
5	1	2	1	1	3	1506	491	162	47	87	Board
3	1	2	2	0	0	407	567	1504	61	-1	
4	1	2	2	1	0	407	567	1504	61	-1	
5	1	2	2	1	1	407	567	109	47	92	1/36
5	1	2	2	1	2	1201	567	185	47	90	Illinois
5	1	2	2	1	3	1406	567	214	61	86	Primary
5	1	2	2	1	4	1638	567	273	61	90	Campaign
3	1	2	3	0	0	407	644	2397	214	-1	
4	1	2	3	1	0	407	644	2361	61	-1	
5	1	2	3	1	1	407	645	108	46	96	1/37
5	1	2	3	1	2	1200	644	218	47	87	Milburn
5	1	2	3	1	3	1436	646	49	45	93	P.
5	1	2	3	1	4	1507	644	177	47	86	Akers-
5	1	2	3	1	5	1703	644	233	47	87	Editorial
5	1	2	3	1	6	1955	644	128	47	87	from
5	1	2	3	1	7	2101	644	350	61	87	Bloomington
5	1	2	3	1	8	2469	644	299	61	85	Pantagraph
4	1	2	3	2	0	407	721	2397	61	-1	
5	1	2	3	2	1	407	722	108	46	99	1/38
5	1	2	3	2	2	1200	721	218	47	87	Milburn
5	1	2	3	2	3	1436	723	49	45	93	P.
5	1	2	3	2	4	1507	721	177	47	86	Akers-
5	1	2	3	2	5	1703	721	233	47	87	Editorial
5	1	2	3	2	6	1955	721	128	47	87	from
5	1	2	3	2	7	2101	721	220	61	90	Chicago
5	1	2	3	2	8	2340	721	464	47	85	Herald-American
4	1	2	3	3	0	407	797	1681	61	-1	
5	1	2	3	3	1	407	798	109	47	99	1/39
5	1	2	3	3	2	1201	797	430	61	85	Correspondence
5	1	2	3	3	3	1650	797	129	47	87	from
5	1	2	3	3	4	1797	798	102	46	92	S.P.
5	1	2	3	3	5	1921	797	167	47	85	Miller
3	1	2	4	0	0	407	874	2231	47	-1	
4	1	2	4	1	0	407	874	2231	47	-1	
5	1	2	4	1	1	407	875	110	46	90	1/40
5	1	2	4	1	2	1202	874	732	47	79	“Stelle-Adamowski-Barrett
5	1	2	4	1	3	1951	876	138	45	85	Have
5	1	2	4	1	4	2107	874	117	47	85	Fine
5	1	2	4	1	5	2243	874	159	47	87	Labor
5	1	2	4	1	6	2419	874	219	47	85	Record”
3	1	2	5	0	0	407	951	1993	61	-1	
4	1	2	5	1	0	407	951	1993	61	-1	
5	1	2	5	1	1	407	952	104	46	99	1/41
5	1	2	5	1	2	1201	951	308	47	85	Democratic
5	1	2	5	1	3	1529	952	130	46	85	State
5	1	2	5	1	4	1678	951	273	61	90	Campaign
5	1	2	5	1	5	1969	951	431	61	85	Correspondence
3	1	2	6	0	0	407	1027	2078	61	-1	
4	1	2	6	1	0	407	1027	2078	61	-1	
5	1	2	6	1	1	407	1028	110	46	99	1/42
5	1	2	6	1	2	1200	1029	144	45	87	From
5	1	2	6	1	3	1361	1027	218	47	87	Milburn
5	1	2	6	1	4	1597	1029	48	45	92	P.
5	1	2	6	1	5	1668	1027	176	47	85	Akers-
5	1	2	6	1	6	1865	1029	93	45	87	For
5	1	2	6	1	7	1974	1027	205	47	85	Release
5	1	2	6	1	8	2199	1042	65	32	91	on
5	1	2	6	1	9	2282	1027	203	61	85	Receipt
3	1	2	7	0	0	407	1104	2442	61	-1	
4	1	2	7	1	0	407	1104	2442	61	-1	
5	1	2	7	1	1	407	1105	107	46	99	1/43
5	1	2	7	1	2	1200	1106	193	45	87	Extract
5	1	2	7	1	3	1410	1104	129	47	87	from
5	1	2	7	1	4	1556	1104	233	47	85	Remarks
5	1	2	7	1	5	1811	1104	57	47	91	of
5	1	2	7	1	6	1883	1105	203	46	85	Senator
5	1	2	7	1	7	2102	1104	116	47	90	Paul
5	1	2	7	1	8	2238	1106	59	45	92	H.
5	1	2	7	1	9	2319	1104	234	61	88	Douglas,
5	1	2	7	1	10	2575	1106	274	54	85	Democrat,
2	1	3	0	0	0	1201	1181	1595	137	-1	
3	1	3	1	0	0	1201	1181	1595	137	-1	
4	1	3	1	1	0	1201	1181	1595	61	-1	
5	1	3	1	1	1	1201	1181	201	56	88	Illinois,
5	1	3	1	1	2	1422	1181	150	47	85	Made
5	1	3	1	1	3	1591	1181	51	46	90	in
5	1	3	1	1	4	1659	1181	80	47	85	the
5	1	3	1	1	5	1758	1181	180	47	85	United
5	1	3	1	1	6	1957	1182	155	46	85	States
5	1	3	1	1	7	2133	1182	174	46	85	Senate
5	1	3	1	1	8	2326	1181	187	61	86	During
5	1	3	1	1	9	2532	1182	187	46	85	Course
5	1	3	1	1	10	2739	1181	57	47	91	of
4	1	3	1	2	0	1201	1257	1248	61	-1	
5	1	3	1	2	1	1201	1258	203	46	85	Current
5	1	3	1	2	2	1421	1257	186	47	85	Debate
5	1	3	1	2	3	1627	1272	65	32	91	on
5	1	3	1	2	4	1710	1257	183	61	85	Repeal
5	1	3	1	2	5	1913	1257	58	47	91	of
5	1	3	1	2	6	1984	1257	332	61	85	Taft—Hartley
5	1	3	1	2	7	2333	1259	116	45	90	Law
2	1	4	0	0	0	402	1334	2109	2578	-1	
3	1	4	1	0	0	407	1334	1376	47	-1	
4	1	4	1	1	0	407	1334	1376	47	-1	
5	1	4	1	1	1	407	1335	110	46	99	1/44
5	1	4	1	1	2	1202	1335	160	46	85	Green
5	1	4	1	1	3	1380	1334	247	47	90	Diamond
5	1	4	1	1	4	1644	1334	139	47	86	Mine
3	1	4	2	0	0	407	1411	1481	61	-1	
4	1	4	2	1	0	407	1411	1481	61	-1	
5	1	4	2	1	1	407	1411	107	47	90	1/45
5	1	4	2	1	2	1201	1413	181	59	85	Report
5	1	4	2	1	3	1400	1411	57	47	91	of
5	1	4	2	1	4	1471	1411	233	47	85	Business
5	1	4	2	1	5	1724	1412	164	60	85	Agent
3	1	4	3	0	0	407	1487	1048	61	-1	
4	1	4	3	1	0	407	1487	1048	61	-1	
5	1	4	3	1	1	407	1487	109	47	93	1/46
5	1	4	3	1	2	1201	1487	254	61	85	Telegram
3	1	4	4	0	0	407	1564	1609	61	-1	
4	1	4	4	1	0	407	1564	1609	61	-1	
