level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	402	414	1849	61	-1	
3	1	1	1	0	0	402	414	1849	61	-1	
4	1	1	1	1	0	402	414	1849	61	-1	
5	1	1	1	1	1	402	415	115	46	88	2/22
5	1	1	1	1	2	1200	414	160	47	87	Labor
5	1	1	1	1	3	1377	414	317	47	87	Information
5	1	1	1	1	4	1712	414	233	47	87	Bulletin—
5	1	1	1	1	5	1966	414	138	61	86	April
5	1	1	1	1	6	2129	414	122	48	90	1935
2	1	2	0	0	0	402	491	1982	3434	-1	
3	1	2	1	0	0	402	491	1208	47	-1	
4	1	2	1	1	0	402	491	1208	47	-1	
5	1	2	1	1	1	402	492	112	46	97	2/23
5	1	2	1	1	2	1201	493	170	45	87	Power
5	1	2	1	1	3	1388	491	123	47	91	Tool
5	1	2	1	1	4	1530	491	80	47	92	Ad
3	1	2	2	0	0	402	567	1982	138	-1	
4	1	2	2	1	0	402	567	1982	48	-1	
5	1	2	2	1	1	402	568	115	46	97	2/24
5	1	2	2	1	2	1200	567	160	47	87	Labor
5	1	2	2	1	3	1377	567	317	47	87	Information
5	1	2	2	1	4	1712	567	233	47	87	Bulletin—
5	1	2	2	1	5	1966	567	273	47	87	December
5	1	2	2	1	6	2262	567	122	48	98	1935
4	1	2	2	2	0	402	644	1478	61	-1	
5	1	2	2	2	1	402	644	112	47	97	2/25
5	1	2	2	2	2	1201	644	101	47	85	The
5	1	2	2	2	3	1321	645	281	60	85	Carpenter—
5	1	2	2	2	4	1621	646	25	45	92	J
5	1	2	2	2	5	1648	644	85	61	93	uly
5	1	2	2	2	6	1756	645	124	47	90	1948
3	1	2	3	0	0	402	721	1581	61	-1	
4	1	2	3	1	0	402	721	1581	61	-1	
5	1	2	3	1	1	402	721	114	47	93	2/26
5	1	2	3	1	2	1201	721	101	47	85	The
5	1	2	3	1	3	1321	722	281	60	85	Carpenter—
5	1	2	3	1	4	1623	721	214	47	87	October
5	1	2	3	1	5	1860	722	123	47	91	1948
3	1	2	4	0	0	402	797	1559	61	-1	
4	1	2	4	1	0	402	797	1559	61	-1	
5	1	2	4	1	1	402	798	113	46	95	2/27
5	1	2	4	1	2	1201	797	101	47	85	The
5	1	2	4	1	3	1321	798	281	60	85	Carpenter—
5	1	2	4	1	4	1622	798	192	60	87	August
5	1	2	4	1	5	1838	798	123	47	91	1948
3	1	2	5	0	0	402	874	1507	61	-1	
4	1	2	5	1	0	402	874	1507	61	-1	
5	1	2	5	1	1	402	875	113	46	91	2/28
5	1	2	5	1	2	1201	874	101	47	99	The
5	1	2	5	1	3	1321	875	281	60	85	Carpenter—
5	1	2	5	1	4	1622	874	139	61	86	April
5	1	2	5	1	5	1786	875	123	47	91	1948
3	1	2	6	0	0	402	951	1643	61	-1	
4	1	2	6	1	0	402	951	1643	61	-1	
5	1	2	6	1	1	402	952	114	47	97	2/29
5	1	2	6	1	2	1201	951	101	47	99	The
5	1	2	6	1	3	1321	952	281	60	85	Carpenter—
5	1	2	6	1	4	1622	951	275	47	87	December
5	1	2	6	1	5	1920	951	125	48	90	1954
3	1	2	7	0	0	402	1027	1537	61	-1	
4	1	2	7	1	0	402	1027	1537	61	-1	
5	1	2	7	1	1	402	1028	115	46	90	2/30
5	1	2	7	1	2	1201	1027	101	47	99	The
5	1	2	7	1	3	1321	1028	281	60	85	Carpenter—
5	1	2	7	1	4	1621	1027	174	47	87	March
5	1	2	7	1	5	1819	1027	120	48	90	1951
3	1	2	8	0	0	402	1104	1603	61	-1	
4	1	2	8	1	0	402	1104	1603	61	-1	
5	1	2	8	1	1	402	1105	109	46	98	2/31
5	1	2	8	1	2	1201	1104	101	47	99	The
5	1	2	8	1	3	1321	1105	281	60	85	Carpenter—
5	1	2	8	1	4	1622	1104	240	61	86	February
5	1	2	8	1	5	1886	1104	119	48	98	1951
3	1	2	9	0	0	402	1181	1570	61	-1	
4	1	2	9	1	0	402	1181	1570	61	-1	
5	1	2	9	1	1	402	1182	115	46	97	2/32
5	1	2	9	1	2	1201	1181	101	47	99	The
5	1	2	9	1	3	1321	1182	281	60	85	Carpenter—
5	1	2	9	1	4	1621	1183	25	45	92	J
5	1	2	9	1	5	1650	1196	179	46	80	anuary
5	1	2	9	1	6	1852	1181	120	48	98	1951
3	1	2	10	0	0	402	1257	1643	61	-1	
4	1	2	10	1	0	402	1257	1643	61	-1	
