level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	376	160	1798	38	-1	
3	1	1	1	0	0	376	160	1798	38	-1	
4	1	1	1	1	0	376	160	1798	38	-1	
5	1	1	1	1	1	376	160	96	30	93	SIUE
5	1	1	1	1	2	483	160	156	30	87	Archives
5	1	1	1	1	3	1890	160	190	38	88	September
5	1	1	1	1	4	2091	160	83	30	91	2002
2	1	2	0	0	0	375	208	1800	672	-1	
3	1	2	1	0	0	375	208	1800	672	-1	
4	1	2	1	1	0	1961	208	214	30	-1	
5	1	2	1	1	1	1961	208	214	30	88	Acc.#M62:5
4	1	2	1	2	0	1095	311	360	46	-1	
5	1	2	1	2	1	1095	312	129	45	88	Kamp
5	1	2	1	2	2	1241	311	214	36	89	Collection
4	1	2	1	3	0	1046	367	459	37	-1	
5	1	2	1	3	1	1046	367	17	29	99	1
5	1	2	1	3	2	1076	368	116	29	87	record
5	1	2	1	3	3	1205	370	125	34	87	carton;
5	1	2	1	3	4	1345	367	50	30	94	1.0
5	1	2	1	3	5	1407	376	49	21	90	cu.
5	1	2	1	3	6	1468	367	37	30	89	ft.
4	1	2	1	4	0	375	463	805	38	-1	
5	1	2	1	4	1	375	463	199	30	87	Box/Folder
5	1	2	1	4	2	975	463	205	38	70	Description
4	1	2	1	5	0	379	558	798	38	-1	
5	1	2	1	5	1	379	559	45	29	95	1/1
5	1	2	1	5	2	975	558	128	38	81	Finding
5	1	2	1	5	3	1115	558	62	30	87	Aid
4	1	2	1	6	0	379	606	1017	35	-1	
5	1	2	1	6	1	379	607	48	29	92	1/2
5	1	2	1	6	2	975	606	120	30	85	Record
5	1	2	1	6	3	1106	606	98	35	89	Book,
5	1	2	1	6	4	1221	606	175	30	90	1855-1869
4	1	2	1	7	0	379	654	1017	35	-1	
5	1	2	1	7	1	379	655	46	29	89	1/3
5	1	2	1	7	2	975	654	120	30	85	Record
5	1	2	1	7	3	1106	654	98	35	89	Book,
5	1	2	1	7	4	1221	654	175	30	89	1863-1879
4	1	2	1	8	0	379	702	1680	38	-1	
5	1	2	1	8	1	379	703	48	29	95	1/4
5	1	2	1	8	2	975	702	120	30	85	Record
5	1	2	1	8	3	1106	702	98	35	89	Book,
5	1	2	1	8	4	1221	702	186	35	89	1853-1876;
5	1	2	1	8	5	1421	703	131	29	79	German
5	1	2	1	8	6	1563	707	107	33	85	poetry
5	1	2	1	8	7	1681	702	60	30	86	and
5	1	2	1	8	8	1751	712	178	28	85	newspaper
5	1	2	1	8	9	1941	702	118	30	85	articles
4	1	2	1	9	0	379	750	1444	38	-1	
5	1	2	1	9	1	379	750	46	30	92	1/5
5	1	2	1	9	2	975	750	180	38	85	Implement
5	1	2	1	9	3	1165	750	91	30	92	Book
5	1	2	1	9	4	1266	750	81	30	88	from
5	1	2	1	9	5	1358	750	87	38	87	April
5	1	2	1	9	6	1460	750	269	30	85	1895-November
5	1	2	1	9	7	1744	750	79	30	90	1906
4	1	2	1	10	0	379	797	1187	38	-1	
5	1	2	1	10	1	379	797	48	30	94	1/6
5	1	2	1	10	2	975	797	218	38	84	Book-Copies
5	1	2	1	10	3	1206	797	36	30	92	of
5	1	2	1	10	4	1250	798	123	34	84	Letters,
5	1	2	1	10	5	1390	798	176	29	92	1874-1878
4	1	2	1	11	0	379	845	1018	35	-1	
5	1	2	1	11	1	379	846	47	29	95	1/7
5	1	2	1	11	2	975	845	120	30	85	Record
5	1	2	1	11	3	1106	845	98	35	89	Book,
5	1	2	1	11	4	1220	845	177	30	91	1851-1854
2	1	3	0	0	0	376	3111	1798	38	-1	
3	1	3	1	0	0	376	3111	1798	38	-1	
4	1	3	1	1	0	376	3111	1798	38	-1	
5	1	3	1	1	1	376	3111	552	38	60	C:\UsershnagraseDesktopWemp
5	1	3	1	1	2	940	3111	129	38	86	Finding
5	1	3	1	1	3	1081	3111	190	38	86	Aids\Kamp
5	1	3	1	1	4	1284	3111	242	30	71	Collectiondoc
5	1	3	1	1	5	2119	3111	55	30	88	krV
