level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3400	4400	-1	
2	1	1	0	0	0	502	212	2398	45	-1	
3	1	1	1	0	0	502	212	2398	45	-1	
4	1	1	1	1	0	502	212	2398	45	-1	
5	1	1	1	1	1	502	212	127	40	93	SIUE
5	1	1	1	1	2	643	212	208	40	88	Archives
5	1	1	1	1	3	2661	213	113	44	91	June
5	1	1	1	1	4	2792	213	108	39	90	1994
2	1	2	0	0	0	501	276	2398	2039	-1	
3	1	2	1	0	0	501	276	2398	49	-1	
4	1	2	1	1	0	501	276	2398	49	-1	
5	1	2	1	1	1	501	276	81	40	91	RG
5	1	2	1	1	2	600	277	94	48	90	100,
5	1	2	1	1	3	712	277	140	48	90	100-1,
5	1	2	1	1	4	869	277	126	39	90	100-2
5	1	2	1	1	5	2639	276	260	40	90	Acc.#94:15
3	1	2	2	0	0	506	412	2320	110	-1	
4	1	2	2	1	0	506	412	2320	50	-1	
5	1	2	2	1	1	506	412	120	39	91	16/10
5	1	2	2	1	2	1101	412	359	50	87	Correspondence
5	1	2	2	1	3	1474	412	212	50	87	regarding
5	1	2	2	1	4	1703	412	199	39	87	Shurtleff
5	1	2	2	1	5	1914	412	170	50	89	College
5	1	2	2	1	6	2101	412	179	50	91	Campus
5	1	2	2	1	7	2297	424	43	27	91	as
5	1	2	2	1	8	2358	412	86	39	91	SIU
5	1	2	2	1	9	2459	412	126	39	89	Alton
5	1	2	2	1	10	2600	412	226	39	89	Residence
4	1	2	2	2	0	1101	476	357	46	-1	
5	1	2	2	2	1	1101	476	157	46	86	Center,
5	1	2	2	2	2	1281	476	177	40	93	1956-57
3	1	2	3	0	0	506	540	1378	50	-1	
4	1	2	3	1	0	506	540	1378	50	-1	
5	1	2	3	1	1	506	540	115	39	97	16/11
5	1	2	3	1	2	1102	540	142	50	86	Origin
5	1	2	3	1	3	1259	540	49	39	90	of
5	1	2	3	1	4	1318	541	144	45	89	Name,
5	1	2	3	1	5	1479	540	88	39	92	End
5	1	2	3	1	6	1583	540	49	39	90	of
5	1	2	3	1	7	1644	540	240	50	87	Operations
3	1	2	4	0	0	506	603	1635	46	-1	
4	1	2	4	1	0	506	603	1635	46	-1	
5	1	2	4	1	1	506	603	120	39	97	16/12
5	1	2	4	1	2	1102	603	1039	46	87	StudentRecordBook,1875-1876—1889-1899
3	1	2	5	0	0	506	667	1762	50	-1	
4	1	2	5	1	0	506	667	1762	50	-1	
5	1	2	5	1	1	506	667	117	39	90	16/13
5	1	2	5	1	2	1102	667	198	39	87	Shurtleff
5	1	2	5	1	3	1311	667	223	50	89	Academy:
5	1	2	5	1	4	1554	667	180	39	86	Records
5	1	2	5	1	5	1750	667	49	39	90	of
5	1	2	5	1	6	1811	667	200	46	88	Students,
5	1	2	5	1	7	2034	667	234	40	91	1895-1899
3	1	2	6	0	0	506	731	1762	50	-1	
4	1	2	6	1	0	506	731	1762	50	-1	
5	1	2	6	1	1	506	731	119	39	96	16/14
5	1	2	6	1	2	1102	731	198	39	87	Shurtleff
5	1	2	6	1	3	1311	731	223	50	89	Academy:
5	1	2	6	1	4	1554	731	180	39	86	Records
5	1	2	6	1	5	1750	731	49	39	90	of
5	1	2	6	1	6	1811	731	200	46	88	Students,
5	1	2	6	1	7	2034	731	234	40	91	1899-1904
3	1	2	7	0	0	506	795	1514	46	-1	
4	1	2	7	1	0	506	795	1514	46	-1	
5	1	2	7	1	1	506	795	117	39	93	16/15
5	1	2	7	1	2	1102	795	168	39	88	Student
5	1	2	7	1	3	1284	795	192	39	87	Records:
5	1	2	7	1	4	1494	795	231	46	88	Notebook,
5	1	2	7	1	5	1743	795	277	40	91	c.1904-1919
3	1	2	8	0	0	506	860	1576	46	-1	
4	1	2	8	1	0	506	860	1576	46	-1	
5	1	2	8	1	1	506	860	119	39	97	16/16
5	1	2	8	1	2	1100	860	214	39	88	Women’s
5	1	2	8	1	3	1330	860	176	39	89	Athletic
5	1	2	8	1	4	1523	860	159	39	87	Record
5	1	2	8	1	5	1698	860	130	46	91	Book,
5	1	2	8	1	6	1851	860	231	40	90	1922-1923
